iter	Logloss	AUC
0	0.6563672295	0.8881814291
1	0.624602574	0.9047106048
2	0.5998641724	0.9122900741
3	0.5701588577	0.9139908798
4	0.5487483259	0.9161661403
5	0.530035554	0.9170545438
6	0.5079285864	0.9141473097
7	0.4907247877	0.9134109088
8	0.4736577485	0.9116274608
9	0.4526141595	0.9165992739
10	0.4398912339	0.9168789292
11	0.4263127437	0.9164354653
12	0.4171377378	0.9168058794
13	0.4028135769	0.9176854284
14	0.3926637657	0.9166745374
15	0.3820878743	0.918705174
16	0.3728443066	0.9202465984
17	0.3644837694	0.9200075263
18	0.3547796987	0.9199647295
19	0.3460882026	0.9217304684
20	0.3375501202	0.922307488
21	0.3278675434	0.9222277973
22	0.3202381436	0.922163602
23	0.3152202521	0.9217976152
24	0.3078357769	0.9221318733
25	0.3019938724	0.9238179215
26	0.2963987915	0.925185207
27	0.2908199	0.9261791269
28	0.2865481676	0.9262573419
29	0.2824493955	0.9264152475
30	0.2786988824	0.9272874177
31	0.2739085198	0.9284377675
32	0.269345987	0.9288384345
33	0.2659852885	0.9290110977
34	0.2613079844	0.9285890322
35	0.2577646429	0.9286938107
36	0.2551891623	0.9290952156
37	0.2526928693	0.9291247307
38	0.2498820954	0.9297054396
39	0.2475737586	0.9297290517
40	0.2435578421	0.930648446
41	0.2413839881	0.9303901892
42	0.2382291007	0.9313877985
43	0.2359046694	0.9311841445
44	0.2322357353	0.9313450016
45	0.2299371714	0.9315014315
46	0.2282243493	0.9320282754
47	0.2259419294	0.9321286267
48	0.223250846	0.9328222307
49	0.2204722766	0.9333284142
50	0.2186166593	0.9340500576
51	0.2168961193	0.934376199
52	0.2151265671	0.9351790089
53	0.2134688517	0.9354712081
54	0.2115389248	0.9361928515
55	0.2101755245	0.9364304477
56	0.2079134462	0.9372480151
57	0.2059706264	0.9372716272
58	0.2049610462	0.9373468906
59	0.2025281562	0.9371402851
60	0.2014390046	0.9373690269
61	0.1999829063	0.9373188513
62	0.1987126828	0.9376627018
63	0.1974922062	0.9385643871
64	0.1962465925	0.9384876479
65	0.1947017478	0.9389643163
66	0.1938067538	0.9391974853
67	0.1930399781	0.9397863109
68	0.1922304759	0.9399309347
