iter	Passed	Remaining
0	22	22493
1	47	23735
2	71	23823
3	96	24116
4	120	23996
5	140	23299
6	164	23304
7	186	23075
8	212	23405
9	236	23444
10	253	22825
11	274	22629
12	296	22536
13	319	22516
14	341	22429
15	364	22436
16	388	22453
17	409	22333
18	431	22289
19	453	22232
20	476	22191
21	500	22227
22	525	22316
23	545	22181
24	568	22158
25	591	22176
26	615	22184
27	639	22210
28	661	22157
29	685	22174
30	708	22158
31	730	22106
32	755	22125
33	778	22109
34	801	22094
35	824	22091
36	848	22094
37	867	21972
38	891	21966
39	915	21983
40	937	21935
41	965	22014
42	993	22102
43	1025	22270
44	1055	22406
45	1079	22390
46	1141	23147
47	1177	23363
48	1206	23422
49	1232	23411
50	1267	23590
51	1290	23525
52	1315	23496
53	1337	23426
54	1362	23410
55	1387	23391
56	1411	23347
57	1433	23275
58	1452	23166
59	1477	23149
60	1508	23226
61	1551	23466
62	1606	23892
63	1662	24312
64	1705	24530
65	1753	24807
66	1798	25051
67	1840	25231
68	1884	25426
69	1934	25697
70	1978	25882
71	2023	26077
72	2066	26242
73	2111	26417
74	2155	26588
75	2201	26765
76	2244	26908
77	2290	27075
78	2335	27230
79	2377	27339
80	2422	27487
81	2463	27583
82	2512	27755
83	2560	27925
84	2608	28081
85	2654	28210
86	2700	28343
87	2748	28487
88	2797	28639
89	2847	28786
90	2876	28729
91	2899	28618
92	2946	28734
93	2994	28862
94	3045	29015
95	3095	29145
96	3117	29017
97	3163	29117
98	3210	29215
99	3264	29378
100	3292	29310
101	3321	29244
102	3368	29338
103	3416	29433
104	3487	29725
105	3550	29941
106	3597	30022
107	3638	30054
108	3675	30043
109	3720	30104
110	3765	30154
111	3807	30188
112	3846	30195
113	3887	30212
114	3920	30171
115	3961	30187
116	4023	30364
117	4074	30457
118	4117	30483
119	4141	30367
120	4161	30230
121	4183	30109
122	4204	29981
123	4220	29817
124	4244	29709
125	4261	29563
126	4285	29455
127	4297	29275
128	4320	29172
129	4348	29101
130	4372	29004
131	4398	28923
132	4419	28807
133	4441	28704
134	4467	28626
135	4490	28525
136	4515	28442
137	4538	28346
138	4560	28246
139	4585	28166
140	4603	28042
141	4627	27961
142	4659	27922
143	4679	27819
144	4700	27719
145	4728	27660
146	4751	27574
147	4776	27494
148	4798	27406
