iter	Logloss	AUC
0	0.6771681311	0.8417258662
1	0.6621766367	0.8621674992
2	0.6440052106	0.8841194534
3	0.6292772942	0.8875877534
4	0.6147629321	0.8915832015
5	0.6019986301	0.8903657404
6	0.5902319505	0.8893616487
7	0.5769059792	0.8900352269
8	0.5662084429	0.8909807465
9	0.5558127296	0.8919806545
10	0.5469632881	0.8926458652
11	0.5373682013	0.8927337233
12	0.5293958201	0.8918091222
13	0.5211053807	0.891532997
14	0.5114681105	0.8933278108
15	0.5046512231	0.8939930216
16	0.4979446403	0.8943360862
17	0.4928334787	0.8935662826
18	0.4863837874	0.8934156689
19	0.479436023	0.8949301738
20	0.4737293474	0.895603752
21	0.4681926947	0.8958171214
22	0.4622815871	0.898557455
23	0.458123717	0.8984654132
24	0.4557884916	0.8982896972
25	0.4542947159	0.8979382651
26	0.4533921463	0.8981934717
27	0.4493107913	0.8987959267
28	0.4461225468	0.898762457
29	0.442857687	0.898528169
30	0.4387359267	0.8995615466
31	0.43412136	0.9013187071
32	0.4308153981	0.901511158
33	0.4286299584	0.9012936048
34	0.4277071177	0.9012601351
35	0.4253280268	0.901025847
36	0.4219434432	0.9014400348
37	0.4189186827	0.9019588155
38	0.4160999395	0.9027244354
39	0.4142196157	0.9030675001
40	0.4137394844	0.9029001515
41	0.4115176734	0.9036992411
42	0.4110398625	0.9037243434
43	0.4098839813	0.9039921011
44	0.4076392902	0.9037536294
45	0.4064317165	0.9037619968
46	0.4044713039	0.9038373037
47	0.4026441161	0.9043351658
48	0.4018571673	0.9041343475
49	0.4005613221	0.9043686355
50	0.3996076184	0.9042933286
51	0.3981798949	0.9047451699
52	0.3956742891	0.9056865058
53	0.393943951	0.9061969191
54	0.392564143	0.9066152906
55	0.3917932404	0.9065399838
56	0.3900452174	0.9068997833
57	0.3885801751	0.9072679502
58	0.3868126345	0.9076277497
59	0.3856592213	0.9078285681
60	0.3832593641	0.9091004175
61	0.3819079723	0.9091422547
62	0.3815574329	0.9091171524
63	0.3805290761	0.9092719499
64	0.379395158	0.9100082838
65	0.3787556306	0.9101547138
66	0.3769793734	0.9112759495
67	0.3761124113	0.9116106467
68	0.3759387274	0.9115939119
69	0.375175883	0.9116734024
70	0.3749904031	0.9116148304
71	0.3742807205	0.9115897281
72	0.3732038366	0.9116901373
73	0.3722064008	0.9121419786
74	0.3709843609	0.9124515735
75	0.3696867626	0.9131711725
76	0.3692063278	0.9132548468
77	0.3685696247	0.9134933186
78	0.3679030419	0.9135435232
79	0.3673987753	0.9136774021
80	0.367192807	0.9135769929
81	0.3670659086	0.9135184209
82	0.366735021	0.9137108718
83	0.3664384048	0.9137108718
84	0.3660007428	0.9138782204
85	0.3646474188	0.9146438403
86	0.3638064147	0.9147693518
87	0.3632683341	0.9147860866
88	0.3629522997	0.914928333
89	0.3627210133	0.9149534352
90	0.3617921033	0.9151291513
91	0.3616476709	0.9152379279
92	0.3612713918	0.9152546628
93	0.3609601243	0.9152713976
94	0.3605085101	0.9153132348
95	0.3597654288	0.9158738526
96	0.3595705686	0.9158403829
97	0.3593424715	0.9156897691
98	0.3593345918	0.9156981366
99	0.358811503	0.9159909966
100	0.358501518	0.9160328338
101	0.3582975499	0.9160997732
102	0.3575028778	0.9163298776
103	0.3571831513	0.9164051845
104	0.3565703307	0.9166813097
105	0.356520984	0.9166645748
106	0.3560884264	0.9166813097
107	0.356038394	0.9166478399
108	0.3557344238	0.9166813097
109	0.3552565809	0.9168402909
110	0.3552519631	0.9169072303
111	0.3550496394	0.9169072303
112	0.3544591995	0.917426011
113	0.3538401953	0.9176895851
114	0.3535364767	0.9178067291
115	0.3527058095	0.9181414263
116	0.3522453457	0.9181665286
117	0.3519408535	0.9183422446
118	0.3512651336	0.9185012258
119	0.3510202885	0.9186685744
120	0.3502917421	0.9190032717
121	0.3499109588	0.9188944951
122	0.3492841506	0.9191120483
123	0.3487037166	0.9193547038
124	0.3484712699	0.9195304198
125	0.3483007284	0.9194802152
126	0.3480686654	0.9195973592
127	0.347352948	0.9197312381
128	0.3473221979	0.9197814427
129	0.3464451708	0.9202123654
130	0.3461560856	0.9204633883
131	0.3456643624	0.9204801232
132	0.3454569976	0.9206223695
133	0.3448038085	0.920894311
134	0.3445121956	0.9209110458
135	0.3441662895	0.920835739
