iter	Passed	Remaining
0	80	80163
1	109	54632
2	134	44609
3	158	39548
4	182	36239
5	198	32822
6	208	29617
7	225	27922
8	240	26512
9	262	26009
10	286	25734
11	314	25905
12	331	25157
13	349	24585
14	371	24393
15	391	24075
16	404	23399
17	429	23422
18	453	23438
19	476	23358
20	499	23302
21	523	23253
22	546	23216
23	572	23287
24	581	22670
25	592	22185
26	601	21671
27	623	21631
28	647	21690
29	661	21399
30	686	21444
31	710	21479
32	735	21540
33	746	21196
34	763	21047
35	779	20877
36	802	20893
37	826	20915
38	850	20959
39	867	20814
40	878	20536
41	895	20420
42	912	20313
43	937	20378
44	959	20360
45	973	20186
46	994	20174
47	1018	20197
48	1036	20109
49	1061	20159
50	1084	20185
51	1110	20244
52	1132	20236
53	1156	20266
54	1181	20307
55	1195	20146
56	1216	20125
57	1237	20099
58	1259	20092
59	1281	20077
60	1306	20109
61	1329	20108
62	1344	19996
63	1367	19999
64	1393	20041
65	1414	20014
66	1437	20019
67	1461	20025
68	1484	20035
69	1507	20026
70	1519	19883
71	1541	19871
72	1568	19917
73	1592	19921
74	1615	19929
75	1640	19940
76	1658	19874
77	1680	19859
78	1706	19890
79	1719	19771
80	1727	19595
81	1734	19412
82	1751	19347
83	1761	19206
84	1783	19203
85	1808	19216
86	1829	19197
87	1851	19184
88	1873	19172
89	1896	19173
90	1921	19191
91	1939	19145
92	1962	19138
93	1988	19161
94	2008	19136
95	2033	19145
96	2057	19157
97	2071	19069
98	2081	18941
99	2102	18918
100	2120	18871
101	2131	18763
102	2152	18741
103	2169	18694
104	2193	18697
105	2203	18585
106	2227	18592
107	2239	18496
108	2250	18392
109	2272	18384
110	2279	18256
111	2296	18206
112	2319	18204
113	2342	18204
114	2363	18191
115	2385	18180
116	2404	18145
117	2426	18137
118	2449	18133
119	2465	18078
120	2487	18071
121	2500	17998
122	2523	17990
123	2544	17975
124	2567	17975
125	2581	17906
126	2595	17844
127	2617	17833
128	2632	17773
129	2655	17769
130	2678	17768
131	2697	17738
132	2714	17696
133	2737	17693
134	2759	17682
135	2779	17661
136	2804	17666
137	2828	17670
138	2850	17655
139	2875	17663
140	2896	17646
141	2910	17587
142	2926	17539
143	2946	17517
144	2971	17523
145	2983	17449
146	3008	17459
147	3025	17417
148	3044	17386
149	3055	17315
150	3077	17300
151	3089	17237
152	3115	17249
153	3138	17239
154	3163	17244
155	3184	17231
156	3206	17217
157	3230	17214
158	3250	17192
159	3275	17197
160	3287	17133
161	3312	17135
162	3334	17123
163	3352	17088
164	3373	17072
165	3392	17041
166	3412	17022
167	3426	16970
168	3453	16979
169	3478	16981
170	3492	16933
171	3501	16856
172	3522	16840
173	3544	16824
174	3567	16819
175	3585	16787
176	3603	16756
177	3630	16763
178	3651	16748
179	3662	16685
180	3683	16667
181	3704	16652
182	3725	16633
183	3750	16633
184	3775	16634
185	3797	16618
186	3819	16606
187	3839	16585
188	3861	16568
189	3869	16495
190	3893	16491
191	3916	16482
192	3939	16472
193	3961	16457
194	3985	16452
195	4005	16429
196	4029	16425
197	4053	16418
198	4077	16414
199	4100	16401
200	4107	16327
201	4128	16311
202	4147	16284
203	4172	16280
204	4196	16273
205	4219	16264
206	4241	16247
207	4262	16231
208	4288	16231
209	4305	16196
210	4327	16181
211	4351	16172
212	4375	16166
213	4396	16149
214	4418	16132
215	4439	16114
216	4461	16099
217	4488	16101
218	4512	16093
219	4535	16081
220	4556	16059
221	4577	16042
222	4601	16034
223	4627	16030
224	4649	16015
225	4672	16002
226	4681	15942
227	4705	15931
228	4727	15916
229	4748	15895
230	4770	15882
231	4797	15881
232	4817	15858
233	4840	15843
234	4860	15822
235	4881	15801
236	4901	15778
237	4924	15767
238	4946	15749
239	4969	15735
240	4991	15720
241	5014	15705
242	5033	15681
243	5058	15672
244	5079	15652
245	5102	15640
246	5125	15624
247	5136	15574
248	5157	15555
249	5177	15532
250	5197	15509
251	5222	15500
252	5246	15491
253	5271	15482
254	5292	15463
255	5312	15440
256	5337	15430
257	5362	15421
258	5385	15407
259	5408	15392
260	5429	15373
261	5452	15359
262	5475	15344
263	5499	15333
264	5524	15323
265	5547	15309
266	5570	15292
267	5592	15275
268	5611	15249
269	5637	15241
270	5660	15225
271	5684	15214
272	5707	15197
273	5729	15182
274	5749	15157
275	5768	15131
276	5793	15120
277	5818	15110
278	5840	15093
279	5864	15080
280	5886	15061
281	5908	15043
