TeamId,TeamName,SubmissionDate,Score
28375,"Darwin 31","2012-11-17 01:25:54",0.76555
31464,dierickx3,"2012-12-23 06:37:54",0.00000
31464,dierickx3,"2012-12-23 06:47:36",0.77990
31873,wayrick,"2012-12-31 02:13:21",0.75598
34749,DrTuff,"2013-02-15 17:38:42",0.76555
40654,SomeGuy5,"2013-04-19 20:34:17",0.70334
40654,SomeGuy5,"2013-04-19 20:42:40",0.75119
41875,SSRK,"2013-04-30 07:52:33",0.77990
47723,jvaughn007,"2013-06-11 21:34:06",0.76555
48150,Sunny,"2013-06-12 22:29:50",0.56459
48150,Sunny,"2013-06-12 23:25:48",0.66028
48150,Sunny,"2013-06-13 18:26:14",0.76555
48964,Jhonasttan,"2013-06-14 20:37:28",0.75598
49201,jnaour,"2013-06-15 11:05:36",0.78468
49287,"John Fitzpatrick","2013-06-15 14:07:52",0.74162
49287,"John Fitzpatrick","2013-06-15 14:41:53",0.75119
49955,Dion,"2013-06-16 16:43:58",0.76555
47723,jvaughn007,"2013-06-17 06:11:28",0.78468
1783857,mysteryml,"2013-06-17 12:09:18",0.66028
1783857,mysteryml,"2013-06-17 12:28:58",0.76555
1783857,mysteryml,"2013-06-17 12:48:14",0.77511
49287,"John Fitzpatrick","2013-06-27 23:12:54",0.75598
41875,SSRK,"2013-07-18 09:34:01",0.79425
74831,QuantumDamage,"2014-02-03 10:23:00",0.62679
74896,"simon 2","2014-02-04 02:03:30",0.75598
74831,QuantumDamage,"2014-02-06 15:57:04",0.76555
75689,"Edward Dixon","2014-02-10 17:43:37",0.77990
74896,"simon 2","2014-02-11 20:26:15",0.76555
74896,"simon 2","2014-02-14 16:59:33",0.79425
83910,"John w","2014-03-29 09:13:31",0.77990
83910,"John w","2014-04-04 08:25:02",0.79425
93520,"Peter Hurford","2014-05-08 03:37:01",0.78468
93520,"Peter Hurford","2014-05-08 04:05:13",0.79904
93658,"Greg Lowe","2014-05-09 07:10:27",0.62679
93658,"Greg Lowe","2014-05-09 07:51:13",0.77990
93658,"Greg Lowe","2014-05-09 08:18:51",0.78468
93658,"Greg Lowe","2014-05-09 22:42:14",0.80861
93520,"Peter Hurford","2014-05-10 19:01:56",0.80861
96361,"Nick Gorev","2014-05-24 06:16:17",0.62679
96361,"Nick Gorev","2014-05-24 11:15:20",0.76555
96361,"Nick Gorev","2014-05-24 11:47:26",0.77990
96361,"Nick Gorev","2014-05-25 10:41:20",0.78468
96361,"Nick Gorev","2014-05-27 10:35:00",0.79425
96361,"Nick Gorev","2014-05-28 12:23:15",0.79904
100362,LOGS,"2014-06-13 04:33:17",0.79425
100441,ilarele,"2014-06-13 15:26:29",0.62679
100441,ilarele,"2014-06-13 15:27:18",0.75119
100441,ilarele,"2014-06-13 15:28:26",0.76555
100441,ilarele,"2014-06-16 04:30:23",0.77511
